calexp-2426956-20_img.fits      58665.5 3.71
calexp-2426916-20_img.fits      58665.4 3.81
calexp-2426917-20_img.fits      58665.4 3.81
calexp-2426924-20_img.fits      58665.4 3.81
calexp-2426934-20_img.fits      58665.4 3.81
calexp-2426935-20_img.fits      58665.4 3.86
calexp-2426940-20_img.fits      58665.5 3.86
calexp-2426950-20_img.fits      58665.5 3.86
calexp-2426937-20_img.fits      58665.4 3.91
calexp-2426951-20_img.fits      58665.5 3.93
calexp-2426928-20_img.fits      58665.4 3.96
calexp-2426915-20_img.fits      58665.4 3.98
calexp-2426918-20_img.fits      58665.4 3.98
calexp-2426913-20_img.fits      58665.4 4.00
calexp-2426929-20_img.fits      58665.4 4.07
calexp-2426936-20_img.fits      58665.4 4.07
calexp-2426933-20_img.fits      58665.4 4.08
calexp-2426923-20_img.fits      58665.4 4.09
calexp-2426938-20_img.fits      58665.5 4.09
calexp-2426945-20_img.fits      58665.5 4.09
calexp-2426947-20_img.fits      58665.5 4.09
calexp-2426948-20_img.fits      58665.5 4.09
calexp-2426941-20_img.fits      58665.5 4.10
calexp-2426944-20_img.fits      58665.5 4.10
calexp-2426946-20_img.fits      58665.5 4.10
calexp-2426952-20_img.fits      58665.5 4.10
calexp-2426955-20_img.fits      58665.5 4.10
calexp-2426939-20_img.fits      58665.5 4.11
calexp-2426942-20_img.fits      58665.5 4.11
calexp-2426925-20_img.fits      58665.4 4.14
calexp-2426921-20_img.fits      58665.4 4.16
calexp-2426927-20_img.fits      58665.4 4.16
calexp-2426932-20_img.fits      58665.4 4.18
calexp-2426930-20_img.fits      58665.4 4.20
calexp-2426953-20_img.fits      58665.5 4.20
calexp-2426914-20_img.fits      58665.4 4.24
calexp-2426943-20_img.fits      58665.5 4.24
calexp-2426949-20_img.fits      58665.5 4.24
calexp-2426931-20_img.fits      58665.4 4.25
calexp-2426926-20_img.fits      58665.4 4.39
calexp-2426954-20_img.fits      58665.5 4.49
calexp-2426920-20_img.fits      58665.4 4.53
calexp-2426919-20_img.fits      58665.4 4.68
